1,128,2010,Infiniti,G37
2,124,2015,Jeep,Wrangler
3,15,2014,Audi,S4
4,113,2012,Acura,"Tsx sportwagon"
5,83,2014,Honda,Accord
6,112,2008,Acura,TL
7,65,2009,Honda,Fit
8,91,2010,Mitsu,Lancer
9,50,2015,Acura,TLX
10,31,2007,Honda,Fit
11,216,2007,Chrystler,300
12,228,2010,Nissan,370
13,175,2006,Honda,Civic
14,13,2016,Honda,"Civic 1.5t"
15,126,2010,Volkswagen,Eos
16,63,2010,Honda,Civic
17,127,2013,Acura,Tsx
18,3,2011,Nissan,370
19,161,2012,Nissan,370z
20,180,2011,Volkswagen,Gti
21,57,2015,Scion,Frs
22,25,2012,Mercedes,C250
23,106,2007,Acura,"Tl type s"
24,36,2016,Subaru,WRX
25,39,2011,Honda,Civic
26,178,2009,Honda,Oddesy
27,103,2010,Acura,Tsx
28,84,2012,Mercedes,Cl63amg
29,33,2015,Subaru,Sti
30,30,2012,Hyundai,Celoster
31,123,2006,Lexus,Sc430
32,1051,2006,Acura,Tsx
33,41,2012,Acura,Tsx
34,218,2010,Chevy,Camaro
35,158,2007,Nissan,350z
36,48,2015,Acura,TLX
37,38,2017,Hyundai,"Elantra sport"
38,23,1998,Subaru,Legacy
39,21,2009,Subaru,WRX
40,12,1990,Nissan,240
41,53,2013,Subaru,WRX
42,35,2016,Honda,Civic
43,142,1993,Toyota,Supra
44,110,2011,Toyota,Camry
45,156,2014,Volkswagen,Gli
46,115,2001,Honda,Crv
47,6,2016,Volkswagen,"Golf r"
48,43,2011,Toyota,"4 Runner"
49,37,2015,Subaru,Sti
50,137,2017,Ford,"Focus rs"
51,225,2016,Acura,TLX
52,134,2013,Subaru,WRX
53,5,2003,Acura,Rsx
54,51,2015,Subaru,WRX
55,189,2012,Toyota,"Fj cruiser"
56,170,2014,Chevy,Cruze
57,88,2008,Honda,Accord
58,52,2007,Mazda,"Speed 3"
59,211,2004,Acura,Tsx
60,104,2014,Honda,"Civic si"
61,232,2018,Subaru,WRX
62,Showcar,2014,Nissan,Gtr
63,9,1996,Nissan,240
64,8,1991,Nissan,Skyline
65,140,1995,Mitsu,Evo8
66,122,2011,Infiniti,M37s
67,121,2012,Acura,TL
68,118,1993,Honda,Civic
69,85,2017,Honda,Accord
70,56,2009,Volkswagen,Jetta
71,49,1997,Acura,Integra
72,45,2006,Acura,TL
73,153,2017,Subaru,Brz
74,44,2018,Honda,"Civic si"
75,222,2015,Lexus,Is250
76,207,1993,Honda,"Civic eG"
77,19,2001,Mitsu,Evo7
78,176,2014,Mitsu,Lancer
79,99,2014,Honda,"Civic si"
80,20,2009,Infiniti,G37
81,18,2015,Audi,S3
82,179,2004,Volkswagen,R32
83,145,1990,Volkswagen,Gti
84,78,2015,Mazda,6
85,200,2016,Subaru,WRX
86,162,2014,Nissan,370z
87,17,2016,Mercedes,C43
88,10,2001,Nissan,S15
89,46,2008,Volkswagen,R32
90,4341,1992,Nissan,Rps13
91,24,2013,Subaru,BRZ
92,92,2017,Hyundai,"Elantra sport"
93,7,2014,Nissan,Sentra
94,181,2003,Volkswagen,Gti
95,120,2014,Ford,"Focus st"
96,11,1991,Nissan,Skyline
97,59,2012,Volkswagen,Golf
98,238,1982,Volkswagen,Rabbit
99,144,2016,Volkswagen,Gti
100,116,2008,Audi,A4
101,98,2012,Mercedes,C63
102,242,2014,Nissan,Maxima
103,219,2016,Ford,"Focus rs"
104,187,2007,Subaru,Legacy
105,14,1990,Nissan,Skyline
106,141,1993,Mazda,Miata
107,114,2010,Volkswagen,Gti
108,81,2016,Volkswagen,GTI
109,241,2007,Toyota,Camry
110,22,2007,Honda,Civic
111,2,2016,Bmw,M2
112,130,2016,Honda,"Civic si"
113,93,2005,Acura,TL
114,172,2014,Bmw,4
115,163,2013,Mitsu,Ralliart
116,150,2006,Nissan,350z
117,100,2006,Volvo,S60r
118,235,2013,Scion,Frs
119,230,2004,Acura,Tsx
120,182,2012,Volkswagen,Cc
121,167,2016,Ford,Mystang
122,79,1993,Mazda,Miata
123,34,2010,Honda,Fit
124,226,2008,Honda,Accord
125,Vip,2008,Volkswagen,Gli
126,89,2014,Honda,"Civic si"
127,183,2005,Volkswagen,Jetta
128,67,2015,Subaru,Sti
129,4,2007,Honda,Civic
130,220,2004,Audi,A4
131,193,2014,Nissan,Ssntra
132,186,2012,Volkswagen,Gli
133,159,2013,Hyundai,"Gen coupe"
134,108,2013,Audi,S4
135,95,2004,Infiniti,G35
136,76,2005,Subaru,Sti
137,177,2005,Volkswagen,"Jetta gli"
138,96,2017,Volkswagen,Gti
139,94,2004,Volkswagen,Gti
140,68,2013,Nissan,Altima
141,243,2008,Toyota,Matrix
142,237,1987,Volkswagen,Jetta
143,190,1995,Lexus,Sc300
144,16,2008,Nissan,350z
145,138,1990,Mazda,Miata
146,111,2007,Bmw,328i
147,102,2015,Honda,Accord
148,86,1996,Volkswagen,Jetta
149,74,2015,Honda,Accord
150,69,2018,Subaru,WRX
151,42,2001,Dodge,Viper
152,28,1995,Bmw,318xi
153,185,2013,Volkswagen,Jett
154,184,2010,Volkswagen,Cc
155,75,2012,Subaru,WRX
156,71,2008,Acura,TL
157,64,2004,Subaru,Forester
158,40,2007,Subaru,Legacy
159,212,2001,Lexus,Is300
160,1,2012,Subaru,WRX
161,72,2016,Honda,"Civic si"
162,66,2010,Volkswagen,Gti
163,174,2006,Acura,Rsx
164,197,2010,Audi,A4
166,70,2014,Honda,Civic
167,101,2014,Honda,Civic
168,0,2015,Chevy,Camaro
